0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
4,1,1
4,2,2
5,0,0
6,0,0
7,0,0
7,1,1
7,2,2
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
12,1,1
12,2,2
12,3,3
13,0,0
13,1,1
13,2,2
13,3,3
14,0,0
14,1,1
14,2,2
14,3,3
14,4,4
14,5,5
15,0,0
16,0,0
16,1,1
16,2,2
17,0,0
17,1,1
17,2,2
18,0,0
19,0,0
20,0,0
20,1,1
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
25,1,1
26,0,0
27,0,0
28,0,0
28,1,1
28,2,2
29,0,0
30,0,0
31,0,0
32,0,0
32,1,1
32,2,2
32,3,3
33,0,0
33,0,1
34,0,0
34,0,1
35,0,0
36,0,0
37,0,0
38,0,0
38,1,1
38,2,2
38,3,3
38,4,4
38,5,5
38,6,6
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
43,1,1
44,0,0

